"PWGTP","ESR","MAR","MIG","SEX","SCH","SCHG","SCHL","AGEP","HINCP","PINCP"
99,1,1,1,2,1,0,22,34,100000,50000
265,6,5,1,2,1,0,16,37,114500,19000
74,6,3,1,1,1,0,19,61,30000,30000
203,1,5,1,1,1,0,16,38,65000,65000
32,1,1,1,2,1,0,16,56,141300,21200
82,6,3,1,1,1,0,1,61,28000,0
63,0,5,1,2,2,7,7,10,98000,-19999
58,0,5,1,2,2,12,12,15,17000,0
56,1,5,1,2,2,15,19,19,-60000,11300
87,0,5,1,2,2,7,7,11,83200,-19999
422,6,5,1,1,1,0,21,56,0,0
145,0,5,1,1,2,1,1,3,45000,-19999
70,1,1,1,2,1,0,21,38,76600,25000
109,1,1,1,2,1,0,23,36,230000,130000
60,6,2,3,2,1,0,19,66,27800,17600
222,6,1,1,2,1,0,1,65,11920,2520
66,6,5,3,2,2,12,12,16,67200,0
392,1,1,1,2,2,16,21,28,106000,57000
105,1,5,1,2,2,13,14,16,159400,7000
71,1,5,1,2,1,0,16,23,102400,28800
30,6,1,1,2,2,13,14,16,60300,3100
132,6,1,1,2,1,0,16,83,55300,10400
50,6,1,1,2,1,0,16,73,75300,43200
80,6,3,3,2,1,0,21,57,15400,15400
85,6,3,1,2,1,0,13,52,57000,0
205,3,1,3,1,1,0,21,40,28000,0
60,1,1,3,2,1,0,24,51,190000,80000
107,1,5,1,1,1,0,13,38,99300,34000
28,6,3,3,1,1,0,19,64,22800,11400
104,0,5,1,2,0,0,0,2,222000,-19999
41,1,1,1,2,1,0,19,49,148000,85000
74,1,1,1,1,1,0,21,46,183000,171000
159,6,3,1,2,1,0,16,31,121200,10800
71,1,1,1,2,1,0,21,62,167700,50000
57,6,1,1,2,1,0,20,66,95600,21600
73,6,4,1,1,1,0,22,77,32200,32200
192,0,5,1,1,2,2,3,6,195000,-19999
70,1,5,1,1,1,0,21,47,158000,158000
57,1,1,1,2,1,0,20,53,206000,80000
18,6,5,1,1,2,14,16,18,50000,0
341,0,5,0,1,0,0,0,0,74200,-19999
33,1,1,1,2,1,0,19,41,125000,65000
149,0,5,1,1,2,6,6,9,25070,-19999
73,6,5,1,1,1,0,19,61,34000,34000
52,1,1,1,1,1,0,17,44,79200,60000
363,1,1,1,1,1,0,21,37,398000,178000
50,1,5,1,2,1,0,17,58,32000,27000
152,0,5,1,2,2,10,11,14,77000,-19999
72,1,1,1,2,1,0,22,67,109730,109720
61,1,4,1,2,1,0,18,44,117500,17500
319,1,1,1,1,1,0,1,52,81800,37000
26,6,1,1,1,1,0,19,84,63700,39000
656,1,5,1,2,1,0,19,27,96900,4900
20,3,1,1,2,1,0,19,47,141500,8500
65,0,5,1,2,2,2,3,6,62000,-19999
75,3,1,3,2,1,0,16,35,163200,0
25,1,5,1,2,1,0,14,21,159400,34000
55,1,5,1,1,1,0,20,34,500,500
122,6,1,1,2,1,0,21,74,152500,72100
8,6,3,1,2,1,0,20,62,26000,14000
162,1,5,1,2,1,0,21,37,108000,73000
53,2,1,3,2,1,0,13,27,74600,31000
182,6,3,1,2,1,0,16,74,14100,14100
84,6,5,1,1,2,14,14,18,205000,0
11,1,5,1,1,2,15,19,19,-60000,3530
44,6,1,1,1,1,0,24,81,128800,57600
64,6,3,1,1,1,0,22,75,234400,145400
164,6,3,1,2,1,0,21,63,403000,9000
30,1,1,1,1,1,0,21,39,93300,38300
48,1,3,1,2,1,0,19,58,90000,90000
55,6,1,1,1,1,0,22,60,48000,36000
23,6,5,1,2,1,0,16,43,0,0
73,1,1,1,1,1,0,23,40,230000,196000
44,6,1,3,1,1,0,21,52,-60000,0
100,6,1,1,2,1,0,16,89,171800,0
117,0,5,1,1,2,11,11,15,170500,0
170,1,1,1,1,1,0,22,48,225000,225000
26,0,5,1,2,1,0,2,4,142700,-19999
86,6,5,1,2,3,13,13,17,140900,2900
61,1,3,3,1,1,0,21,47,210000,210000
78,6,1,1,1,1,0,21,78,282200,222700
118,6,5,1,1,1,0,19,27,-60000,360
19,6,2,1,2,1,0,16,63,72700,72700
106,6,5,1,2,2,12,12,16,213000,0
212,1,5,3,2,1,0,22,37,205000,90000
564,1,5,1,1,1,0,22,27,188000,75000
113,1,1,1,2,1,0,21,47,123000,65000
19,6,1,1,2,1,0,16,67,47500,15000
305,1,1,1,1,1,0,19,45,43700,43700
102,1,1,1,2,1,0,16,48,201900,97900
23,1,3,1,1,1,0,16,54,180000,90000
112,1,1,1,2,1,0,18,58,106310,26300
51,1,1,1,1,1,0,22,31,100000,100000
63,1,1,1,1,1,0,21,60,104050,104050
64,1,1,1,1,1,0,22,37,255000,130000
70,1,1,1,1,1,0,20,44,102800,102100
26,1,3,1,2,1,0,19,66,217900,217900
155,6,1,1,2,1,0,19,77,251500,67600
41,1,1,1,1,1,0,22,60,532100,474500
271,0,5,1,1,2,2,1,5,0,-19999
58,0,5,1,1,0,0,0,2,8000,-19999
73,0,5,0,1,0,0,0,0,175000,-19999
332,0,5,1,1,3,7,8,10,164000,-19999
15,6,1,1,1,1,0,13,84,10700,1800
62,6,5,1,1,1,0,18,61,52000,52000
63,6,2,1,2,1,0,20,78,219000,219000
56,6,1,1,1,1,0,15,67,19200,19200
50,6,1,1,1,1,0,21,72,37200,32400
27,6,3,1,1,1,0,16,61,31600,28000
75,1,1,1,1,1,0,16,58,388000,360000
74,6,5,1,2,1,0,20,63,104280,43320
72,1,5,3,2,1,0,18,33,83000,23000
24,1,1,1,1,1,0,24,38,19000,11000
67,6,1,1,2,1,0,20,66,59900,30000
210,1,1,1,1,1,0,16,61,57000,40000
27,6,2,1,2,1,0,21,68,98000,21000
103,1,1,1,1,1,0,21,63,62000,38000
211,6,5,1,2,2,15,19,19,100000,0
61,1,1,1,1,1,0,19,40,210000,100000
112,1,1,1,2,1,0,19,36,320000,95000
128,1,5,1,1,1,0,21,28,617200,22900
138,1,1,1,1,1,0,16,64,40600,35000
202,6,4,1,2,1,0,16,70,68500,28500
61,6,1,1,2,1,0,22,72,120600,81800
124,0,5,1,1,2,11,11,15,116000,0
112,0,5,1,1,0,0,0,1,106600,-19999
99,1,1,1,1,1,0,22,61,255000,200000
56,0,5,1,2,0,0,0,2,115000,-19999
237,1,5,3,2,1,0,21,23,40800,40800
68,1,1,1,1,1,0,22,39,290000,200000
59,6,5,1,1,3,15,19,21,-60000,7000
51,2,3,1,2,1,0,16,59,64000,64000
108,1,3,1,2,1,0,22,48,78000,78000
40,1,1,1,2,1,0,21,49,146000,100000
74,6,1,1,2,1,0,18,63,33300,15600
63,6,5,1,2,2,13,14,17,22600,0
15,6,1,1,1,1,0,20,78,88410,23410
109,1,2,1,2,1,0,21,62,59500,59500
77,1,1,1,2,1,0,16,49,98000,35000
235,1,5,1,1,1,0,22,49,15600,15600
63,1,1,1,1,1,0,19,51,330300,280000
11,3,5,1,2,1,0,16,26,-60000,21300
116,1,3,1,2,1,0,19,34,25000,25000
63,1,1,1,2,1,0,21,32,400000,150000
84,1,5,1,2,1,0,21,27,185000,100000
54,1,5,1,1,1,0,22,39,120000,120000
44,0,5,1,2,2,5,6,7,67000,-19999
57,1,1,1,2,1,0,18,55,48000,48000
97,6,1,1,2,1,0,16,74,68000,21000
44,1,1,1,1,1,0,21,49,111000,87000
120,0,5,1,1,2,8,8,11,63800,-19999
148,0,5,1,1,0,0,0,2,71300,-19999
87,6,1,1,2,1,0,22,68,87600,72000
80,1,3,1,2,1,0,20,46,113200,49000
50,1,1,1,2,1,0,20,61,135000,135000
116,6,2,1,2,1,0,21,87,19500,14300
34,6,1,1,1,1,0,7,79,74900,13200
50,6,1,1,1,1,0,15,79,16100,1400
52,6,1,1,1,1,0,21,72,186500,179900
619,6,5,1,2,2,13,13,16,35580,580
46,1,5,1,2,1,0,22,53,76800,76800
12,0,5,3,2,2,3,3,6,42000,-19999
417,0,5,1,2,2,9,9,13,142000,-19999
83,1,1,1,1,1,0,17,62,115500,80500
25,6,1,1,2,1,0,16,33,31000,0
28,0,5,3,2,2,10,11,13,30000,-19999
57,6,2,1,2,1,0,20,94,41610,41610
33,6,2,1,2,1,0,20,82,40700,40700
28,0,5,1,2,3,5,5,8,33200,-19999
69,0,5,1,2,3,4,4,7,215000,-19999
66,6,1,1,1,1,0,16,67,116600,50000
102,1,5,1,1,1,0,20,32,45500,45500
20,6,1,1,2,1,0,20,74,43300,10900
116,0,5,0,2,0,0,0,0,86400,-19999
47,1,1,3,1,1,0,20,55,174200,98200
61,6,1,2,1,1,0,21,51,30000,0
6,6,5,1,2,1,0,9,59,-60000,2300
92,1,1,1,2,1,0,22,30,195200,70000
73,1,5,1,2,1,0,21,35,138000,50000
72,0,5,1,2,2,5,5,8,100000,-19999
34,6,2,1,2,1,0,19,78,128800,128800
142,6,1,1,2,1,0,16,53,24500,0
36,6,1,1,1,1,0,16,78,35300,22500
56,6,1,1,1,1,0,18,71,110650,16200
62,6,3,1,2,1,0,21,66,37600,37600
13,6,1,1,2,1,0,16,36,160000,0
70,6,1,1,1,1,0,1,82,186400,15600
44,1,5,1,2,1,0,16,18,118000,5000
116,1,1,1,1,1,0,16,50,185000,50000
27,6,1,1,2,1,0,19,63,79400,33400
72,1,5,1,1,1,0,21,46,56000,21000
211,1,1,1,1,1,0,22,58,85000,85000
59,0,5,1,2,3,3,3,6,75000,-19999
270,0,5,3,2,2,5,6,9,40000,-19999
53,1,5,1,2,1,0,21,28,175000,45000
110,1,1,1,1,1,0,21,38,140000,70000
177,0,5,1,1,2,1,2,4,95600,-19999
29,6,2,1,2,1,0,7,78,-60000,18100
111,1,5,1,2,1,0,23,31,138000,68000
116,0,5,1,1,2,3,3,7,272250,-19999
93,6,5,1,1,1,0,16,40,164000,0
29,6,3,1,2,1,0,18,73,51640,51640
20,6,1,1,2,1,0,16,54,25100,12100
121,0,5,1,1,2,4,4,7,190000,-19999
301,6,2,1,2,1,0,22,74,62900,61300
61,0,5,1,1,2,10,10,14,84000,-19999
10,6,4,1,1,1,0,19,37,-60000,0
66,1,5,1,2,2,16,21,40,193100,77000
15,1,1,1,1,1,0,21,39,191000,73000
100,6,1,1,1,1,0,21,70,99500,41000
7,2,1,1,2,1,0,18,59,30400,6900
56,1,1,1,1,1,0,24,68,97000,83500
85,1,3,1,1,1,0,21,50,63000,63000
82,0,5,1,2,2,9,9,14,50000,-19999
117,6,2,1,2,1,0,16,88,74400,20400
87,6,1,1,1,1,0,21,60,103200,38200
323,6,5,1,2,2,14,16,17,89600,0
35,6,5,3,1,2,15,16,19,208000,0
16,6,2,1,2,1,0,19,82,-60000,0
170,6,1,1,1,1,0,18,78,27950,23450
61,0,5,1,2,2,7,7,10,186000,-19999
130,6,5,1,2,1,0,19,22,14000,0
45,6,5,3,1,1,0,17,29,-60000,10000
254,1,3,1,2,1,0,17,29,32500,32500
634,0,5,1,1,2,4,4,8,375000,-19999
54,0,5,1,2,3,1,2,5,306000,-19999
192,1,5,1,2,1,0,21,34,207400,100000
128,0,5,1,2,2,1,2,3,103600,-19999
27,0,5,1,1,2,4,5,9,43000,-19999
29,6,5,1,1,2,15,16,19,-60000,3500
19,6,2,1,2,1,0,16,93,57080,57080
179,1,1,1,1,1,0,20,34,72000,37000
608,0,5,1,1,2,3,4,6,13000,-19999
84,1,1,1,1,1,0,19,57,270800,115200
91,1,1,1,1,1,0,16,63,93100,69100
55,2,1,1,2,1,0,22,54,155500,68000
63,1,1,1,1,1,0,13,45,45500,10000
33,6,1,1,1,1,0,19,75,228800,133800
119,0,5,0,2,0,0,0,0,13000,-19999
36,1,1,1,2,1,0,20,69,127900,66600
70,0,5,1,2,0,0,0,1,678000,-19999
14,6,3,1,1,1,0,16,79,18950,18950
69,6,5,1,1,1,0,14,54,-60000,0
14,1,1,3,1,1,0,22,49,103200,30000
64,0,5,1,1,2,8,8,12,103000,-19999
82,6,1,1,1,1,0,19,54,72000,40000
164,1,1,3,1,1,0,20,33,268400,79400
198,1,1,1,2,1,0,22,41,202000,62000
67,1,1,1,1,1,0,21,48,111300,100000
359,6,3,1,2,1,0,22,75,61000,14000
71,1,1,2,1,1,0,16,30,78500,39500
59,1,1,1,1,1,0,18,60,50000,50000
18,6,1,1,2,1,0,21,51,45320,20
181,6,1,1,2,1,0,24,49,17904,0
67,0,5,1,1,2,4,5,8,310000,-19999
70,0,5,1,2,1,0,1,5,59000,-19999
55,6,1,1,1,1,0,13,67,36900,16900
71,0,5,1,1,2,11,11,15,90000,0
56,0,5,1,1,3,2,2,5,57300,-19999
43,6,3,1,2,3,16,24,74,17400,17400
57,6,1,1,1,1,0,21,75,292200,9900
88,6,1,3,1,1,0,1,48,32100,1600
19,1,3,1,1,1,0,19,62,218000,218000
83,6,1,1,2,1,0,21,64,120060,10
70,6,5,1,1,1,0,21,79,95150,45150
57,6,1,1,1,1,0,16,48,11000,0
65,1,4,1,1,1,0,19,68,52600,52600
58,0,5,1,1,2,11,12,14,65300,-19999
47,1,1,1,2,1,0,18,69,112900,40200
147,1,5,1,2,1,0,21,24,31100,13000
322,1,1,1,1,1,0,19,40,40000,40000
232,1,5,1,1,1,0,16,46,30000,30000
99,1,5,1,2,1,0,21,25,244500,30000
91,1,1,1,2,1,0,22,56,110000,90000
50,6,1,1,2,1,0,18,52,112200,0
244,0,5,1,2,1,0,1,3,19800,-19999
28,1,1,1,2,1,0,21,63,87000,55000
53,6,1,1,1,1,0,16,71,209000,8000
52,1,1,3,1,1,0,16,44,83700,60000
11,6,5,3,1,2,11,12,16,-60000,0
85,1,1,1,2,1,0,20,37,64500,15800
55,1,1,1,1,1,0,16,58,357500,165000
102,1,5,1,2,1,0,20,21,18000,18000
293,1,1,1,1,1,0,21,57,853000,765000
93,6,1,1,2,1,0,21,52,100000,50000
31,1,5,1,1,1,0,21,29,200000,95000
38,1,1,1,2,1,0,17,64,153600,24100
156,6,5,1,1,3,14,14,17,110000,0
77,1,1,1,2,1,0,21,48,135000,90000
18,1,1,1,1,1,0,21,53,155000,100000
16,6,2,1,2,1,0,16,89,-60000,32400
100,0,5,1,1,0,0,0,2,80000,-19999
131,1,1,1,1,1,0,9,49,50000,25000
52,6,1,1,2,1,0,20,69,109300,7300
136,6,5,1,1,2,15,16,22,106000,0
82,6,1,1,2,1,0,16,73,176600,22100
90,1,1,1,1,1,0,22,54,166000,100000
242,0,5,1,2,2,3,4,6,9200,-19999
111,6,2,1,1,1,0,18,86,17000,17000
86,6,1,1,2,1,0,18,66,46500,24000
104,0,5,1,2,0,0,0,2,81000,-19999
17,6,1,1,1,1,0,21,70,11400,11400
548,0,5,1,1,2,9,10,13,75000,-19999
69,6,1,1,2,1,0,18,68,79100,55900
162,0,5,1,2,2,10,10,14,203000,-19999
231,0,5,1,1,0,0,0,2,80000,-19999
68,1,1,1,2,1,0,9,38,245000,18500
113,1,5,1,1,1,0,21,43,325000,85000
55,1,2,1,2,1,0,21,60,104400,64000
24,1,1,1,2,1,0,21,51,232000,77000
13,1,1,1,2,1,0,16,63,129010,126000
88,1,1,1,1,1,0,15,68,86300,56700
57,0,5,1,2,2,2,3,5,359000,-19999
99,1,1,1,1,1,0,21,38,142400,130000
61,1,5,1,1,2,14,15,17,47400,4600
48,6,3,1,1,1,0,19,61,7700,7700
109,6,1,1,1,1,0,23,75,122500,71500
56,0,5,1,1,2,6,7,10,100500,-19999
191,1,5,1,1,1,0,16,21,99000,24000
25,1,1,1,2,1,0,16,65,76500,26500
169,6,2,1,2,1,0,21,93,6600,6600
66,1,5,1,1,1,0,21,25,175000,25000
83,6,1,3,1,1,0,16,51,90000,90000
124,6,3,1,2,1,0,16,42,88200,9300
77,6,5,3,1,2,15,18,18,-60000,2500
61,1,1,1,2,1,0,19,67,28800,27000
34,1,1,1,1,1,0,24,60,372000,252000
88,1,1,1,1,1,0,16,36,226000,36000
34,1,1,3,1,1,0,23,35,234000,150000
77,6,3,1,2,1,0,19,63,16000,16000
105,1,3,1,2,3,16,22,56,39700,21000
34,6,4,1,2,1,0,7,72,7200,7200
83,6,1,1,2,1,0,17,61,155000,0
39,1,3,3,2,1,0,16,52,263500,36400
179,6,3,1,2,1,0,19,74,60000,60000
152,0,5,1,1,1,0,2,3,200000,-19999
68,1,3,1,2,1,0,16,54,81600,2000
46,1,5,1,1,1,0,21,36,143000,86000
43,1,1,1,1,1,0,21,28,88000,78000
42,0,5,0,2,0,0,0,0,205000,-19999
85,1,1,1,2,1,0,23,57,659000,503000
88,1,5,1,1,1,0,1,45,46000,30000
99,1,5,1,1,1,0,19,29,48600,10600
52,1,1,1,1,1,0,16,41,159700,60500
66,6,1,1,2,1,0,20,74,188000,24000
19,6,1,1,1,1,0,16,82,50200,41700
24,0,5,1,1,2,1,2,4,122000,-19999
70,6,1,1,1,1,0,19,83,72300,22000
75,0,5,1,1,2,4,4,7,115000,-19999
27,0,5,1,1,0,0,0,2,72000,-19999
23,1,1,1,2,1,0,18,64,130000,130000
256,1,5,1,1,1,0,21,27,304000,100000
113,1,5,3,2,1,0,21,25,12500,12500
72,6,1,1,2,1,0,21,70,40700,13700
198,1,3,1,1,1,0,20,46,44600,35000
60,0,5,1,2,0,0,0,1,485000,-19999
311,0,5,1,2,3,2,1,6,85000,-19999
312,1,1,1,1,1,0,17,31,359000,89000
69,6,5,1,1,2,14,15,17,220000,0
114,6,5,1,2,2,14,14,18,161000,0
121,0,5,1,2,3,4,5,8,155000,-19999
73,1,1,1,2,1,0,21,42,118000,48000
89,0,5,0,1,0,0,0,0,117400,-19999
332,1,2,1,2,1,0,16,49,13600,9600
14,6,5,3,2,2,15,16,18,-60000,3000
74,6,1,1,2,1,0,16,30,88900,3000
54,6,1,1,2,1,0,17,74,38000,8900
59,6,1,1,2,3,16,23,45,276430,100000
249,0,5,1,1,2,7,7,11,43600,-19999
104,1,5,1,1,1,0,21,23,115100,5300
119,0,5,1,1,2,1,1,4,15000,-19999
112,6,1,1,1,1,0,22,84,74000,61000
24,6,1,1,1,1,0,16,71,19100,16600
57,1,1,1,1,1,0,18,63,69500,32000
77,0,5,3,2,2,3,3,6,0,-19999
91,1,1,1,1,1,0,14,70,73500,25600
36,1,1,1,2,1,0,16,33,109000,9000
163,1,1,1,1,1,0,16,43,85000,45000
168,1,3,1,1,1,0,19,53,292400,80000
35,6,1,1,1,1,0,16,66,49500,28300
31,6,2,1,2,1,0,19,86,40000,30000
120,0,5,1,1,3,3,3,7,70000,-19999
79,6,3,1,1,1,0,16,67,49000,49000
82,1,5,1,2,2,12,13,16,136500,2000
206,6,1,1,2,1,0,22,72,119200,45700
70,0,5,1,1,2,3,3,7,102300,-19999
216,6,3,1,1,1,0,16,62,14300,10900
17,6,2,1,2,1,0,17,70,19000,19000
79,0,5,1,2,2,4,5,7,100000,-19999
165,1,5,1,1,1,0,19,41,65000,65000
9,0,5,1,1,2,11,11,14,181000,-19999
487,1,1,1,2,1,0,19,42,69100,37900
39,6,1,1,1,1,0,22,67,290700,250700
19,6,1,1,1,1,0,16,31,-60000,160
82,1,1,1,1,1,0,22,45,195000,85000
83,6,1,1,1,1,0,16,69,189200,39600
99,6,5,1,1,2,15,16,18,529000,8000
140,1,1,3,1,1,0,16,30,38000,38000
186,6,5,1,1,2,12,13,16,86000,0
24,6,1,1,1,1,0,18,70,54000,15000
36,1,1,1,2,1,0,22,64,188500,120000
21,6,5,1,1,1,0,16,61,-60000,0
132,0,5,1,2,0,0,0,2,165600,-19999
109,1,1,1,1,1,0,19,45,136000,100000
66,1,1,3,1,1,0,15,40,60000,30000
76,1,1,1,1,1,0,16,66,67200,67200
70,6,2,1,2,1,0,20,88,152600,26000
3,6,1,3,1,1,0,17,43,-60000,0
47,6,5,1,2,2,14,14,17,46400,0
37,6,2,3,2,1,0,20,66,22600,22600
29,6,1,1,1,1,0,16,74,43600,33500
51,1,1,1,1,1,0,21,31,155000,75000
78,6,2,1,2,1,0,18,60,26300,26300
80,1,1,1,1,1,0,13,64,69500,69500
99,6,1,1,1,1,0,15,68,67200,35000
108,0,5,3,2,2,6,7,10,60600,-19999
22,1,3,1,2,1,0,20,59,174000,49000
88,6,1,1,2,1,0,16,76,51500,19300
46,1,5,3,1,2,15,16,23,33000,13000
137,1,5,1,2,2,14,16,18,43000,8000
233,1,5,1,1,1,0,19,60,98380,35400
93,6,3,1,2,1,0,13,63,51000,22200
57,0,5,0,2,0,0,0,0,106700,-19999
43,6,1,3,1,1,0,16,80,54590,33190
60,6,1,1,2,1,0,21,39,96000,0
38,0,5,1,1,2,7,7,11,111400,-19999
65,1,5,3,1,1,0,21,31,-60000,14600
70,1,1,1,1,1,0,22,54,310000,180000
219,1,5,1,2,1,0,18,24,244300,22900
30,1,5,1,1,1,0,22,44,267050,105050
125,0,5,1,2,2,2,1,6,32000,-19999
91,1,1,1,1,1,0,21,51,270000,270000
248,1,5,1,2,2,15,20,21,75400,30000
75,1,1,1,1,1,0,20,30,68000,68000
85,6,5,1,2,1,0,19,83,77200,35100
131,1,3,1,1,1,0,21,66,155000,155000
129,1,1,1,1,1,0,23,45,599600,397800
215,6,5,1,2,1,0,21,29,222300,0
65,6,2,1,2,1,0,22,71,161400,161400
34,1,1,1,2,1,0,21,57,108000,60000
20,1,5,1,2,1,0,19,46,65100,45000
26,6,1,3,2,1,0,16,82,136500,17400
60,6,2,1,2,1,0,21,45,11500,1500
37,4,1,1,1,1,0,21,24,-60000,80000
53,1,5,1,2,1,0,19,57,12000,12000
77,6,5,1,2,1,0,22,59,206300,74900
181,1,1,1,1,1,0,16,62,210000,35000
67,1,1,3,1,1,0,21,71,281900,253900
126,1,1,1,1,1,0,19,34,102000,20000
97,6,3,1,1,1,0,16,52,37200,0
18,3,5,1,2,2,12,12,16,189600,1400
55,1,3,1,1,1,0,16,55,116100,116100
30,6,2,1,2,1,0,16,85,-60000,18000
32,1,1,1,2,1,0,16,63,134700,45000
92,1,5,1,1,1,0,19,25,115000,55000
43,1,1,1,1,1,0,24,54,86000,60000
97,0,5,1,2,2,11,11,14,232900,-19999
39,0,5,1,1,2,5,6,9,67000,-19999
182,1,5,1,1,1,0,21,28,133000,60000
30,1,5,1,1,1,0,21,35,66000,30000
24,1,5,1,2,1,0,17,33,102000,52000
17,6,3,1,2,1,0,21,85,337000,171000
41,6,1,1,2,1,0,19,44,152000,0
64,6,2,1,2,1,0,16,87,18700,18700
53,6,1,1,1,1,0,16,63,50000,20000
36,1,5,1,1,1,0,20,22,128290,67000
57,6,1,1,1,1,0,18,72,59260,49560
77,6,1,1,2,1,0,12,34,50000,0
126,6,2,1,2,1,0,16,88,261300,51300
95,1,1,1,1,1,0,22,60,132000,132000
74,0,5,1,1,1,0,1,4,46000,-19999
81,1,1,1,2,1,0,24,40,202000,90000
78,0,5,1,2,2,1,2,5,300000,-19999
31,3,1,1,2,1,0,20,27,41000,0
61,1,3,1,1,1,0,16,55,143000,15000
290,1,5,3,2,2,12,13,17,83600,1000
102,6,5,1,1,2,15,19,21,222500,43200
89,6,1,1,1,1,0,21,72,96400,79000
104,6,5,1,1,2,14,14,18,320000,0
47,6,5,3,1,1,0,20,74,35800,35800
60,6,5,1,2,1,0,16,57,47400,14400
127,1,1,1,2,1,0,19,36,100000,35000
32,1,3,1,2,1,0,22,58,166000,110000
79,1,1,3,2,1,0,21,36,91000,56000
38,1,5,1,1,1,0,19,24,182000,19000
184,6,5,1,2,2,15,16,19,64400,2300
33,6,5,3,2,2,13,14,17,50700,2700
60,0,5,1,1,2,8,8,12,72000,-19999
304,1,5,1,1,1,0,15,33,38000,38000
67,6,1,1,2,1,0,19,73,139600,10000
42,1,2,3,1,1,0,1,60,40000,40000
159,1,1,1,1,1,0,20,32,133000,56000
116,1,1,1,2,1,0,21,28,150000,45000
129,1,5,1,1,2,15,16,23,63000,8000
73,1,1,1,2,2,16,22,34,127500,54500
101,6,2,3,1,1,0,20,87,97000,97000
57,6,1,1,1,1,0,21,74,41800,30400
23,6,5,3,2,1,0,18,18,82220,3000
60,6,5,1,1,2,13,13,16,47000,0
157,0,5,1,2,2,6,7,9,218000,-19999
109,1,1,1,1,1,0,21,51,120150,55000
76,6,3,1,1,1,0,19,63,92570,37200
148,1,1,1,2,1,0,16,47,580000,110000
88,1,1,1,1,1,0,21,41,212000,212000
88,0,5,1,2,3,2,2,6,450000,-19999
107,4,1,1,1,1,0,20,30,30000,30000
108,0,5,1,2,2,8,8,11,63900,-19999
53,6,1,1,1,1,0,20,80,212300,186000
50,1,3,1,2,1,0,16,74,56600,11600
99,1,1,1,1,1,0,1,35,69400,68000
109,2,1,1,2,1,0,21,55,93800,4200
86,6,5,1,1,3,12,12,16,218900,0
364,1,1,1,1,1,0,22,40,310000,190000
76,0,5,1,1,3,5,5,9,17000,-19999
129,1,1,1,2,1,0,19,43,245000,35000
179,1,3,1,2,1,0,19,63,137000,87000
17,0,5,1,2,3,3,3,6,32000,-19999
234,0,5,1,1,1,0,2,4,110600,-19999
318,1,1,3,2,1,0,20,27,92000,55000
190,6,1,1,1,1,0,1,68,91600,21600
40,1,5,1,1,1,0,19,29,87000,87000
187,0,5,1,2,3,1,1,4,202000,-19999
97,1,1,1,1,1,0,22,56,420000,300000
19,1,1,1,2,2,16,24,34,190000,125000
17,6,1,1,1,1,0,24,69,93500,84000
48,1,1,1,1,1,0,19,56,215000,140000
65,0,5,1,1,2,7,7,12,45000,-19999
90,6,5,1,1,1,0,16,67,39000,15000
361,1,1,1,1,1,0,16,54,101000,45000
37,1,5,1,1,1,0,16,39,35000,35000
358,1,1,1,2,1,0,22,28,28200,10200
73,6,3,1,2,1,0,21,44,55000,10000
15,0,5,1,1,0,0,0,1,65000,-19999
103,0,5,1,2,2,8,9,11,49000,-19999
30,0,5,1,2,2,5,5,9,201000,-19999
124,1,1,1,2,1,0,21,40,308000,108000
65,1,3,1,1,1,0,21,40,80000,53000
84,6,5,1,1,1,0,16,60,2220,2220
78,1,1,1,2,2,16,22,39,790000,101000
74,0,5,1,1,0,0,0,2,139800,-19999
64,1,1,1,2,1,0,20,60,103500,19500
383,1,5,1,2,1,0,16,24,171000,38000
34,1,5,1,2,3,15,16,21,-60000,10000
117,1,1,1,2,1,0,22,52,114400,36000
18,6,3,1,2,1,0,20,75,12000,12000
66,6,1,1,2,1,0,19,82,72430,29830
224,6,5,1,1,2,15,19,20,42300,0
266,0,5,1,2,0,0,0,1,77000,-19999
49,0,5,1,1,2,6,7,10,226220,-19999
32,1,1,1,1,1,0,20,49,149500,149000
76,1,1,1,1,1,0,22,47,72000,50000
46,1,1,1,2,1,0,20,63,39000,20000
34,2,1,1,2,2,16,21,45,70900,46900
49,6,1,1,1,1,0,21,72,73600,62900
118,0,5,1,1,2,2,2,6,378200,-19999
70,0,5,1,2,2,10,11,14,363400,-19999
133,6,2,1,1,1,0,14,72,26000,6000
14,0,5,1,1,2,5,5,8,38000,-19999
53,1,1,1,1,1,0,21,62,81000,24000
142,0,5,1,2,2,3,3,7,51000,-19999
81,6,1,1,1,1,0,16,71,60000,48000
111,1,1,3,1,1,0,21,39,24000,24000
335,3,5,1,1,3,15,18,20,37600,0
118,0,5,1,1,0,0,0,1,178000,-19999
76,1,1,1,1,1,0,22,44,200000,100000
153,1,5,3,2,1,0,16,23,122000,7000
129,6,1,1,2,1,0,21,68,61600,7200
52,6,1,1,2,1,0,21,75,199000,0
34,6,1,3,1,1,0,15,82,-60000,9000
187,1,1,1,2,1,0,23,29,182000,72000
33,6,5,1,1,3,14,15,21,754000,0
101,1,1,1,2,1,0,22,45,149260,149000
49,1,1,1,2,1,0,16,57,66000,27000
283,1,3,1,2,1,0,16,49,130000,50000
104,6,3,1,2,1,0,22,80,50000,50000
56,6,1,1,1,1,0,24,67,154010,42010
11,6,2,1,2,1,0,14,66,11000,11000
181,1,5,1,1,2,15,20,36,145000,5000
